term_id,week,zh,pinyin,vi,en,note
W04-014,4,球狀蛋白,qiú zhuàng dàn bái,Protein dạng cầu,Globular protein,
W04-015,4,膠原蛋白,jiāo yuán dàn bái,Collagen,Collagen,
W04-016,4,角蛋白,jiǎo dàn bái,Keratin,Keratin,
W04-017,4,X光晶體繞射,X guāng jīng tǐ rào shè,Nhiễu xạ tia X,X-ray crystallography,
W05-001,5,配位基,pèi wèi jī,Phối tử (ligand),Ligand,
W05-002,5,結合位置,jié hé wèi zhì,Vị trí gắn,Binding site,
W05-003,5,肌紅素,jī hóng sù,Myoglobin,Myoglobin,亦作 myoglobin
W05-004,5,血紅素,xuè hóng sù,Hemoglobin,Hemoglobin,亦作 huyết sắc tố
W05-005,5,血基質,xuè jī zhì,Nhóm heme,Heme,
W05-006,5,氧合曲線,yǎng hé qū xiàn,Đường cong gắn oxygen,Oxygen-binding curve,
W05-007,5,協同性,xié tóng xìng,Tính hợp tác,Cooperativity,
W05-008,5,異位調節,yì wèi diào jié,Điều hòa dị lập thể,Allosteric regulation,
W05-009,5,波耳效應,bō ěr xiào yīng,Hiệu ứng Bohr,Bohr effect,
W05-010,5,解離常數,jiě lí cháng shù,Hằng số phân li,Dissociation constant (Kd),
W05-011,5,鐮刀型貧血,lián dāo xíng pín xuè,Thiếu máu hồng cầu hình liềm,Sickle cell anemia,
W05-012,5,抗體,kàng tǐ,Kháng thể,Antibody,
W05-013,5,抗原,kàng yuán,Kháng nguyên,Antigen,
W05-014,5,肌動蛋白,jī dòng dàn bái,Actin,Actin,
W05-015,5,肌凝蛋白,jī níng dàn bái,Myosin,Myosin,
W06-001,6,酵素,jiào sù,Enzyme,Enzyme,舊寫 enzim;醫科系統作 enzym
W06-002,6,受質,shòu zhì,Cơ chất,Substrate,
W06-003,6,產物,chǎn wù,Sản phẩm,Product,
W06-004,6,活性部位,huó xìng bù wèi,Trung tâm hoạt động,Active site,亦作 vị trí hoạt động
W06-005,6,催化,cuī huà,Sự xúc tác,Catalysis,
W06-006,6,活化能,huó huà néng,Năng lượng hoạt hóa,Activation energy,
W06-007,6,過渡態,guò dù tài,Trạng thái chuyển tiếp,Transition state,
W06-008,6,專一性,zhuān yī xìng,Tính đặc hiệu,Specificity,
W06-009,6,誘導契合,yòu dǎo qì hé,Khớp cảm ứng,Induced fit,
W06-010,6,輔因子,fǔ yīn zǐ,Cofactor,Cofactor,
W06-011,6,輔酶,fǔ méi,Coenzyme,Coenzyme,醫科系統作 coenzym
W06-012,6,輔基,fǔ jī,Nhóm ngoại,Prosthetic group,
W06-013,6,維生素,wéi shēng sù,Vitamin,Vitamin,
W06-014,6,酶原,méi yuán,Tiền enzyme (zymogen),Zymogen,
W06-015,6,反應速率,fǎn yīng sù lǜ,Tốc độ phản ứng,Reaction rate,
W07-001,7,酵素動力學,jiào sù dòng lì xué,Động học enzyme,Enzyme kinetics,
W07-002,7,米氏方程式,mǐ shì fāng chéng shì,Phương trình Michaelis-Menten,Michaelis-Menten equation,
W07-003,7,米氏常數,mǐ shì cháng shù,Hằng số Michaelis (Km),Km,
W07-004,7,最大速率,zuì dà sù lǜ,Tốc độ tối đa (Vmax),Vmax,
W07-005,7,初速率,chū sù lǜ,Tốc độ ban đầu,Initial velocity,
W07-006,7,轉換數,zhuǎn huàn shù,Số vòng xúc tác (kcat),Turnover number,
W07-007,7,抑制劑,yì zhì jì,Chất ức chế,Inhibitor,
W07-008,7,競爭性抑制,jìng zhēng xìng yì zhì,Ức chế cạnh tranh,Competitive inhibition,
W07-009,7,非競爭性抑制,fēi jìng zhēng xìng yì zhì,Ức chế không cạnh tranh,Noncompetitive inhibition,
W07-010,7,不可逆抑制,bù kě nì yì zhì,Ức chế không thuận nghịch,Irreversible inhibition,
W07-011,7,雙倒數作圖,shuāng dào shù zuò tú,Đồ thị Lineweaver-Burk,Lineweaver-Burk plot,
W07-012,7,回饋抑制,huí kuì yì zhì,Ức chế ngược,Feedback inhibition,
W07-013,7,共價修飾,gòng jià xiū shì,Biến đổi cộng hóa trị,Covalent modification,
W07-014,7,磷酸化,lín suān huà,Sự phosphoryl hóa,Phosphorylation,
W08-001,8,單醣,dān táng,Đường đơn (monosaccharide),Monosaccharide,
W08-002,8,雙醣,shuāng táng,Đường đôi (disaccharide),Disaccharide,
W08-003,8,多醣,duō táng,Đường đa (polysaccharide),Polysaccharide,
W08-004,8,葡萄糖,pú táo táng,Glucose,Glucose,
W08-005,8,果糖,guǒ táng,Fructose,Fructose,
W08-006,8,半乳糖,bàn rǔ táng,Galactose,Galactose,
W08-007,8,蔗糖,zhè táng,Sucrose,Sucrose,日常語 đường mía
W08-008,8,乳糖,rǔ táng,Lactose,Lactose,
W08-009,8,麥芽糖,mài yá táng,Maltose,Maltose,
W08-010,8,醣苷鍵,táng gān jiàn,Liên kết glycosidic,Glycosidic bond,
W08-011,8,澱粉,diàn fěn,Tinh bột,Starch,植物儲存;勿與 glycogen 混
W08-012,8,肝醣,gān táng,Glycogen,Glycogen,動物儲存;勿與 tinh bột 混
W08-013,8,纖維素,xiān wéi sù,Cellulose,Cellulose,
W08-014,8,醛醣,quán táng,Aldose,Aldose,
W08-015,8,酮醣,tóng táng,Ketose,Ketose,
W08-016,8,異構物,yì gòu wù,Đồng phân,Isomer,
W08-017,8,醣蛋白,táng dàn bái,Glycoprotein,Glycoprotein,
W08-018,8,還原糖,hái yuán táng,Đường khử,Reducing sugar,
W10-001,10,脂肪酸,zhī fáng suān,Acid béo,Fatty acid,舊寫 axit béo
W10-002,10,飽和脂肪酸,bǎo hé zhī fáng suān,Acid béo no,Saturated fatty acid,
W10-003,10,不飽和脂肪酸,bù bǎo hé zhī fáng suān,Acid béo không no,Unsaturated fatty acid,
W10-004,10,三酸甘油酯,sān suān gān yóu zhǐ,Triacylglycerol,Triacylglycerol,亦作 chất béo trung tính
W10-005,10,甘油,gān yóu,Glycerol,Glycerol,
W10-006,10,磷脂,lín zhī,Phospholipid,Phospholipid,
W10-007,10,固醇,gù chún,Steroid,Steroid,
W10-008,10,膽固醇,dǎn gù chún,Cholesterol,Cholesterol,
W10-009,10,脂雙層,zhī shuāng céng,Lớp lipid kép,Lipid bilayer,亦作 lớp kép lipid
W10-010,10,兩親性,liǎng qīn xìng,Lưỡng cực (amphipathic),Amphipathic,
W10-011,10,細胞膜,xì bāo mó,Màng tế bào,Cell membrane,
W10-012,10,流體鑲嵌模型,liú tǐ xiāng qiàn mó xíng,Mô hình khảm lỏng,Fluid mosaic model,
W10-013,10,擴散,kuò sàn,Sự khuếch tán,Diffusion,
W10-014,10,滲透,shèn tòu,Sự thẩm thấu,Osmosis,
W10-015,10,被動運輸,bèi dòng yùn shū,Vận chuyển thụ động,Passive transport,
W10-016,10,主動運輸,zhǔ dòng yùn shū,Vận chuyển chủ động,Active transport,
W10-017,10,轉運蛋白,zhuǎn yùn dàn bái,Protein vận chuyển,Transporter,
W10-018,10,離子通道,lí zǐ tōng dào,Kênh ion,Ion channel,
W10-019,10,鈉鉀幫浦,nà jiǎ bāng pǔ,Bơm Na+/K+,Sodium-potassium pump,
W10-020,10,酯鍵,zhǐ jiàn,Liên kết ester,Ester bond,舊寫 este
W11-001,11,核苷酸,hé gān suān,Nucleotide,Nucleotide,
W11-002,11,核苷,hé gān,Nucleoside,Nucleoside,
W11-003,11,含氮鹼基,hán dàn jiǎn jī,Base nitrogen,Nitrogenous base,注意:此 base ≠ 酸鹼的 base
W11-004,11,嘌呤,piào lìng,Purine,Purine,
W11-005,11,嘧啶,mì dìng,Pyrimidine,Pyrimidine,
W11-006,11,腺嘌呤,xiàn piào lìng,Adenine (A),Adenine,
W11-007,11,鳥嘌呤,niǎo piào lìng,Guanine (G),Guanine,
W11-008,11,胞嘧啶,bāo mì dìng,Cytosine (C),Cytosine,
W11-009,11,胸腺嘧啶,xiōng xiàn mì dìng,Thymine (T),Thymine,
W11-010,11,尿嘧啶,niào mì dìng,Uracil (U),Uracil,
W11-011,11,去氧核糖,qù yǎng hé táng,Deoxyribose,Deoxyribose,
W11-012,11,核糖,hé táng,Ribose,Ribose,
W11-013,11,磷酸雙酯鍵,lín suān shuāng zhǐ jiàn,Liên kết phosphodiester,Phosphodiester bond,
W11-014,11,雙螺旋,shuāng luó xuán,Chuỗi xoắn kép,Double helix,
W11-015,11,鹼基配對,jiǎn jī pèi duì,Sự bắt cặp base,Base pairing,
W11-016,11,互補,hù bǔ,Bổ sung,Complementary,
W11-017,11,反平行,fǎn píng xíng,Đối song song,Antiparallel,
W11-018,11,去氧核糖核酸,qù yǎng hé táng hé suān,DNA,DNA,舊制/醫科作 ADN
W11-019,11,核糖核酸,hé táng hé suān,RNA,RNA,舊制/醫科作 ARN
W11-020,11,基因,jī yīn,Gene,Gene,舊寫 gen
W12-001,12,生物能量學,shēng wù néng liàng xué,Năng lượng sinh học,Bioenergetics,
W12-002,12,自由能,zì yóu néng,Năng lượng tự do,Free energy (G),
W12-003,12,自由能變化,zì yóu néng biàn huà,Biến thiên năng lượng tự do,ΔG,
W12-004,12,標準自由能,biāo zhǔn zì yóu néng,Năng lượng tự do chuẩn,ΔG°′,
W12-005,12,放能反應,fàng néng fǎn yīng,Phản ứng tỏa năng,Exergonic reaction,
W12-006,12,吸能反應,xī néng fǎn yīng,Phản ứng thu năng,Endergonic reaction,
W12-007,12,自發反應,zì fā fǎn yīng,Phản ứng tự phát,Spontaneous reaction,
W12-008,12,能量耦合,néng liàng ǒu hé,Sự ghép cặp năng lượng,Energy coupling,
W12-009,12,三磷酸腺苷,sān lín suān xiàn gān,ATP,ATP,
W12-010,12,高能磷酸鍵,gāo néng lín suān jiàn,Liên kết phosphate cao năng,High-energy phosphate bond,
W12-011,12,水解,shuǐ jiě,Sự thủy phân,Hydrolysis,
W12-012,12,氧化,yǎng huà,Sự oxy hóa,Oxidation,
W12-013,12,還原,hái yuán,Sự khử,Reduction,
W12-014,12,氧化還原反應,yǎng huà hái yuán fǎn yīng,Phản ứng oxy hóa khử,Redox reaction,
W12-015,12,電子載體,diàn zǐ zài tǐ,Chất mang điện tử,Electron carrier,
W12-016,12,還原電位,hái yuán diàn wèi,Thế khử,Reduction potential,
W12-017,12,異化作用,yì huà zuò yòng,Dị hóa,Catabolism,
W12-018,12,同化作用,tóng huà zuò yòng,Đồng hóa,Anabolism,
W13-001,13,糖解作用,táng jiě zuò yòng,Đường phân,Glycolysis,亦作 sự đường phân
W13-002,13,己糖激酶,jǐ táng jī méi,Hexokinase,Hexokinase,
W13-003,13,磷酸果糖激酶,lín suān guǒ táng jī méi,Phosphofructokinase-1 (PFK-1),PFK-1,關鍵調控點
W13-004,13,丙酮酸激酶,bǐng tóng suān jī méi,Pyruvate kinase,Pyruvate kinase,
W13-005,13,丙酮酸,bǐng tóng suān,Pyruvate,Pyruvate,
W13-006,13,投資期,tóu zī qī,Giai đoạn đầu tư,Preparatory phase,
W13-007,13,收穫期,shōu huò qī,Giai đoạn thu hồi,Payoff phase,
W13-008,13,受質層次磷酸化,shòu zhì céng cì lín suān huà,Phosphoryl hóa mức cơ chất,Substrate-level phosphorylation,
W13-009,13,發酵,fā jiào,Sự lên men,Fermentation,
W13-010,13,乳酸,rǔ suān,Lactate,Lactate,
W13-011,13,乙醇,yǐ chún,Ethanol,Ethanol,
W13-012,13,醣質新生,táng zhì xīn shēng,Tân tạo glucose,Gluconeogenesis,亦作 tân tạo đường
W13-013,13,肝醣分解,gān táng fēn jiě,Sự phân giải glycogen,Glycogenolysis,
W13-014,13,戊糖磷酸途徑,wù táng lín suān tú jìng,Con đường pentose phosphate,Pentose phosphate pathway,
W13-015,13,菸鹼醯胺腺嘌呤二核苷酸,yān jiǎn xī àn xiàn piào lìng èr hé gān suān,NADH,NADH,
W14-001,14,檸檬酸循環,níng méng suān xún huán,Chu trình acid citric,Citric acid cycle,醫科常稱 chu trình Krebs
W14-002,14,克氏循環,kè shì xún huán,Chu trình Krebs,Krebs cycle,
W14-003,14,乙醯輔酶A,yǐ xī fǔ méi A,Acetyl-CoA,Acetyl-CoA,
W14-004,14,丙酮酸去氫酶複合體,bǐng tóng suān qù qīng méi fù hé tǐ,Phức hợp pyruvate dehydrogenase,Pyruvate dehydrogenase complex,
W14-005,14,去羧作用,qù suō zuò yòng,Sự khử carboxyl,Decarboxylation,
W14-006,14,檸檬酸,níng méng suān,Citrate,Citrate,
W14-007,14,異檸檬酸,yì níng méng suān,Isocitrate,Isocitrate,
W14-008,14,α-酮戊二酸,α-tóng wù èr suān,α-Ketoglutarate,Alpha-ketoglutarate,
W14-009,14,琥珀酸,hǔ pò suān,Succinate,Succinate,
W14-010,14,延胡索酸,yán hú suǒ suān,Fumarate,Fumarate,
W14-011,14,蘋果酸,píng guǒ suān,Malate,Malate,
W14-012,14,草醯乙酸,cǎo xī yǐ suān,Oxaloacetate,Oxaloacetate,
W14-013,14,黃素腺嘌呤二核苷酸,huáng sù xiàn piào lìng èr hé gān suān,FADH2,FADH2,
W14-014,14,三磷酸鳥苷,sān lín suān niǎo gān,GTP,GTP,
W14-015,14,回補反應,huí bǔ fǎn yīng,Phản ứng bổ sung,Anaplerotic reaction,
W14-016,14,兩性途徑,liǎng xìng tú jìng,Con đường lưỡng tính,Amphibolic pathway,
W15-001,15,氧化磷酸化,yǎng huà lín suān huà,Phosphoryl hóa oxy hóa,Oxidative phosphorylation,
W15-002,15,電子傳遞鏈,diàn zǐ chuán dì liàn,Chuỗi vận chuyển điện tử,Electron transport chain,醫科亦稱 chuỗi hô hấp tế bào
W15-003,15,呼吸鏈,hū xī liàn,Chuỗi hô hấp,Respiratory chain,
W15-004,15,複合體,fù hé tǐ,Phức hợp,Complex,
W15-005,15,泛醌,fàn kūn,Ubiquinone (Q),Ubiquinone,
W15-006,15,細胞色素c,xì bāo sè sù c,Cytochrome c,Cytochrome c,
W15-007,15,鐵硫中心,tiě liú zhōng xīn,Trung tâm sắt-lưu huỳnh,Iron-sulfur center,
W15-008,15,內膜,nèi mó,Màng trong,Inner membrane,
W15-009,15,膜間隙,mó jiān xì,Khoang gian màng,Intermembrane space,
W15-010,15,基質,jī zhì,Chất nền (matrix),Matrix,
W15-011,15,質子梯度,zhì zǐ tī dù,Gradient proton,Proton gradient,
W15-012,15,質子動力,zhì zǐ dòng lì,Lực đẩy proton,Proton-motive force,
W15-013,15,化學滲透,huà xué shèn tòu,Thẩm thấu hóa học,Chemiosmosis,
W15-014,15,ATP合成酶,ATP hé chéng méi,ATP synthase,ATP synthase,
W15-015,15,解偶聯劑,jiě ǒu lián jì,Chất tách cặp,Uncoupler,
W15-016,15,氰化物,qíng huà wù,Cyanide,Cyanide,
W15-017,15,最終電子接受者,zuì zhōng diàn zǐ jiē shòu zhě,Chất nhận điện tử cuối cùng,Final electron acceptor,
W16-001,16,β-氧化,β-yǎng huà,β-Oxy hóa,Beta oxidation,語序:sự β-oxy hóa acid béo
W16-002,16,脂解作用,zhī jiě zuò yòng,Sự phân giải lipid,Lipolysis,
W16-003,16,肉鹼穿梭,ròu jiǎn chuān suō,Thoi carnitine,Carnitine shuttle,
W16-004,16,醯基輔酶A,xī jī fǔ méi A,Acyl-CoA,Acyl-CoA,
W16-005,16,酮體,tóng tǐ,Thể ceton,Ketone body,
W16-006,16,生酮作用,shēng tóng zuò yòng,Sự tạo ceton,Ketogenesis,
W16-007,16,轉胺作用,zhuǎn àn zuò yòng,Sự chuyển amin,Transamination,
W16-008,16,轉胺酶,zhuǎn àn méi,Transaminase,Transaminase,
W16-009,16,去胺作用,qù àn zuò yòng,Sự khử amin,Deamination,
W16-010,16,氨,ān,Ammonia (NH3),Ammonia,亦作 amoniac
W16-011,16,銨離子,ǎn lí zǐ,Ion ammonium,Ammonium ion,
W16-012,16,尿素,niào sù,Urea,Urea,越南語 ure(不加聲調)
W16-013,16,尿素循環,niào sù xún huán,Chu trình ure,Urea cycle,亦稱 chu trình Krebs-Henseleit
W16-014,16,麩胺酸,fū àn suān,Glutamate,Glutamate,
W16-015,16,麩醯胺,fū xī àn,Glutamine,Glutamine,
W16-016,16,生酮胺基酸,shēng tóng àn jī suān,Amino acid sinh ceton,Ketogenic amino acid,
W16-017,16,生糖胺基酸,shēng táng àn jī suān,Amino acid sinh đường,Glucogenic amino acid,
W17-001,17,代謝整合,dài xiè zhěng hé,Tích hợp chuyển hóa,Metabolic integration,
W17-002,17,激素,jī sù,Hormone,Hormone,醫科舊教材作 hormon
W17-003,17,受體,shòu tǐ,Thụ thể,Receptor,
W17-004,17,訊息傳遞,xùn xī chuán dì,Sự truyền tín hiệu,Signal transduction,
W17-005,17,第二傳訊者,dì èr chuán xùn zhě,Chất truyền tin thứ hai,Second messenger,
W17-006,17,胰島素,yí dǎo sù,Insulin,Insulin,
W17-007,17,升糖素,shēng táng sù,Glucagon,Glucagon,
W17-008,17,腎上腺素,shèn shàng xiàn sù,Adrenaline (epinephrine),Epinephrine,
W17-009,17,皮質醇,pí zhì chún,Cortisol,Cortisol,
W17-010,17,瘦體素,shòu tǐ sù,Leptin,Leptin,
W17-011,17,血糖,xuè táng,Đường huyết,Blood glucose,
W17-012,17,恆定,héng dìng,Sự cân bằng nội môi,Homeostasis,
W17-013,17,飽食狀態,bǎo shí zhuàng tài,Trạng thái no,Fed state,
W17-014,17,飢餓狀態,jī è zhuàng tài,Trạng thái đói,Fasting state,
W17-015,17,脂肪組織,zhī fáng zǔ zhī,Mô mỡ,Adipose tissue,
W17-016,17,肝臟,gān zàng,Gan,Liver,
W17-017,17,骨骼肌,gǔ gé jī,Cơ xương,Skeletal muscle,
W17-018,17,糖尿病,táng niào bìng,Bệnh đái tháo đường,Diabetes mellitus,亦作 bệnh tiểu đường
W17-019,17,胰島素阻抗,yí dǎo sù zǔ kàng,Kháng insulin,Insulin resistance,
W17-020,17,代謝症候群,dài xiè zhèng hòu qún,Hội chứng chuyển hóa,Metabolic syndrome,
